Timestamp,Lamp Status,Lamp Brightness,Movement,Light (Lux)
22/22/00,1 , 3 , 1 , 112
22/22/00,1 , 3 , 1 , 40
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 39
22/22/00,1 , 3 , 1 , 37
22/22/00,1 , 3 , 1 , 37
22/22/00,1 , 3 , 1 , 45
22/22/00,1 , 3 , 1 , 46
22/22/00,1 , 3 , 1 , 45
22/22/00,1 , 3 , 1 , 37
22/22/00,1 , 3 , 1 , 45
22/22/00,1 , 3 , 1 , 36
22/22/00,1 , 3 , 1 , 37
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 46
22/22/00,1 , 3 , 1 , 37
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 47
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 47
22/22/00,1 , 3 , 1 , 37
22/22/00,1 , 3 , 1 , 39
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 46
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 38
22/22/00,1 , 3 , 1 , 81
22/22/00,1 , 3 , 1 , 85
22/22/00,1 , 3 , 1 , 161
22/22/00,1 , 3 , 1 , 105
22/22/00,1 , 3 , 0 , 205
22/22/00,1 , 3 , 0 , 105
22/22/00,1 , 3 , 1 , 134
22/22/00,1 , 3 , 1 , 122
22/22/00,1 , 3 , 1 , 87
22/22/00,1 , 3 , 1 , 86
22/22/00,1 , 3 , 1 , 80
22/22/00,1 , 3 , 1 , 47
22/22/00,1 , 3 , 1 , 31
22/22/00,1 , 3 , 0 , 131
22/22/00,1 , 3 , 1 , 218
22/22/00,1 , 3 , 1 , 190
22/22/00,1 , 3 , 1 , 179
22/22/00,1 , 3 , 1 , 147
22/22/00,1 , 3 , 1 , 115
22/22/00,1 , 3 , 1 , 106
22/22/00,1 , 3 , 1 , 119
22/22/00,1 , 3 , 1 , 114
22/22/00,1 , 3 , 1 , 109
22/22/00,1 , 3 , 1 , 115
22/22/00,1 , 3 , 1 , 95
22/22/00,1 , 3 , 1 , 103
22/22/00,1 , 3 , 1 , 102
22/22/00,1 , 3 , 1 , 80
22/22/00,1 , 3 , 1 , 72
22/22/00,1 , 3 , 1 , 86
22/22/00,1 , 3 , 1 , 78
22/22/00,1 , 3 , 1 , 89
22/22/00,1 , 3 , 1 , 75
22/22/00,1 , 3 , 1 , 87
22/22/00,1 , 3 , 1 , 93
22/22/00,1 , 3 , 1 , 79
22/22/00,1 , 3 , 1 , 75
22/22/00,1 , 3 , 1 , 80
22/22/00,1 , 3 , 1 , 79
22/22/00,1 , 3 , 1 , 78
22/22/00,1 , 3 , 1 , 77
22/22/00,1 , 3 , 1 , 96
22/22/00,1 , 3 , 1 , 77
22/22/00,1 , 3 , 1 , 81
22/22/00,1 , 3 , 1 , 81
22/22/00,1 , 3 , 1 , 84
22/22/00,1 , 3 , 1 , 93
22/22/00,1 , 3 , 1 , 84
22/22/00,1 , 3 , 1 , 71
22/22/00,1 , 3 , 1 , 82
22/22/00,1 , 3 , 1 , 70
22/22/00,1 , 3 , 1 , 83
22/22/00,1 , 3 , 1 , 72
22/22/00,1 , 3 , 1 , 72
22/22/00,1 , 3 , 1 , 74
22/22/00,1 , 3 , 1 , 86
22/22/00,1 , 3 , 1 , 71
22/22/00,1 , 3 , 1 , 86
22/22/00,1 , 3 , 1 , 69
22/22/00,1 , 3 , 1 , 72
22/22/00,1 , 3 , 1 , 74
22/22/00,1 , 3 , 1 , 71
22/22/00,1 , 3 , 1 , 73
22/22/00,1 , 3 , 1 , 71
22/22/00,1 , 3 , 1 , 74
22/22/00,1 , 3 , 1 , 73
22/22/01,1 , 3 , 1 , 69
22/22/01,1 , 3 , 1 , 93
22/22/01,1 , 3 , 1 , 65
22/22/01,1 , 3 , 0 , 165
22/22/01,1 , 3 , 0 , 265
22/22/01,1 , 3 , 1 , 256
22/22/01,1 , 3 , 0 , 356
22/22/01,1 , 3 , 1 , 396
22/22/01,1 , 3 , 0 , 296
22/22/01,1 , 3 , 0 , 196
22/22/01,1 , 3 , 0 , 296
22/22/01,1 , 3 , 0 , 196
22/22/01,1 , 3 , 0 , 96
22/22/01,1 , 3 , 1 , 82
22/22/01,1 , 3 , 1 , 98
22/22/01,1 , 3 , 1 , 100
22/22/01,1 , 3 , 1 , 96
22/22/01,1 , 3 , 1 , 109
22/22/01,1 , 3 , 1 , 137
22/22/01,1 , 3 , 1 , 85
22/22/01,1 , 3 , 1 , 42
22/22/01,1 , 3 , 1 , 23
22/22/01,1 , 3 , 1 , 17
22/22/01,1 , 3 , 1 , 9
22/22/01,1 , 3 , 1 , 13
22/22/01,1 , 3 , 1 , 27
22/22/01,1 , 3 , 1 , 26
22/22/01,1 , 3 , 1 , 45
22/22/01,1 , 3 , 1 , 53
22/22/01,1 , 3 , 1 , 54
22/22/01,1 , 3 , 1 , 65
22/22/01,1 , 3 , 0 , 165
22/22/01,1 , 3 , 1 , 225
22/22/01,1 , 3 , 0 , 325
22/22/01,1 , 3 , 0 , 425
22/22/01,1 , 3 , 0 , 325
22/22/01,1 , 3 , 0 , 225
22/22/01,1 , 3 , 1 , 136
22/22/01,1 , 3 , 0 , 36
22/22/01,1 , 3 , 1 , 37
22/22/01,1 , 3 , 1 , 26
22/22/01,1 , 3 , 1 , 10
22/22/01,1 , 3 , 1 , 14
22/22/01,1 , 3 , 1 , 12
22/22/01,1 , 3 , 1 , 24
22/22/01,1 , 3 , 0 , 124
22/22/01,1 , 3 , 1 , 162
22/22/01,1 , 3 , 0 , 262
22/22/01,1 , 3 , 1 , 218
22/22/01,1 , 3 , 1 , 200
22/22/01,1 , 3 , 1 , 213
22/22/01,1 , 3 , 1 , 178
22/22/01,1 , 3 , 1 , 174
22/22/01,1 , 3 , 1 , 175
22/22/01,1 , 3 , 1 , 183
22/22/01,1 , 3 , 1 , 182
22/22/01,1 , 3 , 1 , 191
22/22/01,1 , 3 , 1 , 165
22/22/01,1 , 3 , 0 , 265
22/22/01,1 , 3 , 0 , 165
22/22/01,1 , 3 , 0 , 265
22/22/01,1 , 3 , 0 , 165
22/22/01,1 , 3 , 1 , 109
22/22/01,1 , 3 , 1 , 59
22/22/01,1 , 3 , 1 , 49
22/22/01,1 , 3 , 1 , 49
22/22/01,1 , 3 , 1 , 61
22/22/01,1 , 3 , 1 , 52
22/22/01,1 , 3 , 1 , 50
22/22/01,1 , 3 , 1 , 62
22/22/01,1 , 3 , 1 , 52
22/22/01,1 , 3 , 1 , 62
22/22/01,1 , 3 , 1 , 50
22/22/01,1 , 3 , 1 , 59
22/22/01,1 , 3 , 1 , 49
22/22/01,1 , 3 , 1 , 61
22/22/01,1 , 3 , 1 , 50
22/22/01,1 , 3 , 1 , 61
22/22/01,1 , 3 , 1 , 52
22/22/01,1 , 3 , 1 , 62
22/22/01,1 , 3 , 1 , 52
22/22/01,1 , 3 , 1 , 61
22/22/01,1 , 3 , 1 , 51
22/22/01,1 , 3 , 1 , 62
22/22/01,1 , 3 , 1 , 51
22/22/01,1 , 3 , 1 , 53
22/22/01,1 , 3 , 1 , 51
22/22/01,1 , 3 , 1 , 52
22/22/01,1 , 3 , 1 , 50
22/22/01,1 , 3 , 1 , 53
22/22/01,1 , 3 , 1 , 52
22/22/01,1 , 3 , 1 , 51
22/22/01,1 , 3 , 1 , 54
22/22/01,1 , 3 , 1 , 51
22/22/01,1 , 3 , 1 , 51
22/22/01,1 , 3 , 1 , 60
22/22/01,1 , 3 , 1 , 52
22/22/01,1 , 3 , 1 , 51
22/22/01,1 , 3 , 1 , 62
22/22/01,1 , 3 , 1 , 52
